domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,167.843,10.0.0.5,false,
wpad,NXDOMAIN,162.471,10.0.0.5,false,
wpad,NXDOMAIN,163.173,10.0.0.5,false,
wpad,NXDOMAIN,159.205,10.0.0.5,false,
tuhafhaberler.com,NXDOMAIN,308.466,10.0.0.5,false,
rtsab.com,NOERROR,498.340,10.0.0.5,false,
i-butterfly.ru,TIMEOUT,0.000,10.0.0.5,false,
datepanchang.com,NOERROR,552.203,10.0.0.5,false,13.75.93.156
localhost.re,TIMEOUT,0.000,10.0.0.5,false,
daehepharma.com,TIMEOUT,0.000,10.0.0.5,false,
ex-jw.org,TIMEOUT,0.000,10.0.0.5,false,
us.tf,TIMEOUT,0.000,10.0.0.5,false,
informarexresistere.fr,TIMEOUT,0.000,10.0.0.5,false,
running-sigi.de,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
buynowfromusa.com,TIMEOUT,0.000,10.0.0.5,false,
pbprofile.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
fini.net,TIMEOUT,0.000,10.0.0.5,false,
gmxwnlajnl,TIMEOUT,0.000,10.0.0.5,false,
djoncbjcmv,TIMEOUT,0.000,10.0.0.5,false,
mptrmkwart,NXDOMAIN,181.316,10.0.0.5,false,
djoncbjcmv,TIMEOUT,0.000,10.0.0.5,false,
gmxwnlajnl,TIMEOUT,0.000,10.0.0.5,false,
mptrmkwart,TIMEOUT,0.000,10.0.0.5,false,
globalpoliticalspectrum.com,TIMEOUT,0.000,10.0.0.5,false,
41latitude.com,TIMEOUT,0.000,10.0.0.5,false,
zzxu.cn,TIMEOUT,0.000,10.0.0.5,false,
energybulbs.co.uk,TIMEOUT,0.000,10.0.0.5,false,
o-ov.com,TIMEOUT,0.000,10.0.0.5,false,
lozo.com,TIMEOUT,0.000,10.0.0.5,false,
tottenhamhk.com,TIMEOUT,0.000,10.0.0.5,false,
newstetic.com,TIMEOUT,0.000,10.0.0.5,false,
triggerfish.se,TIMEOUT,0.000,10.0.0.5,false,
reprosystems.ru,TIMEOUT,0.000,10.0.0.5,false,
interfloracentral.co.uk,TIMEOUT,0.000,10.0.0.5,false,
afairjudgement.com,TIMEOUT,0.000,10.0.0.5,false,
owlcreek.com,TIMEOUT,0.000,10.0.0.5,false,
radioterminal.ru,TIMEOUT,0.000,10.0.0.5,false,
junio.com,TIMEOUT,0.000,10.0.0.5,false,
ditrblog.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
isilon,TIMEOUT,0.000,10.0.0.5,false,
isilon,TIMEOUT,0.000,10.0.0.5,false,
isilon,TIMEOUT,0.000,10.0.0.5,false,
isilon,TIMEOUT,0.000,10.0.0.5,false,
alchemedialtd.com,TIMEOUT,0.000,10.0.0.5,false,
portclydegeneralstore.com,TIMEOUT,0.000,10.0.0.5,false,
alenpuaca.com,TIMEOUT,0.000,10.0.0.5,false,
dj-producer-j-mbargo.com,TIMEOUT,0.000,10.0.0.5,false,
iag-inc.com,TIMEOUT,0.000,10.0.0.5,false,
advertos.ru,TIMEOUT,0.000,10.0.0.5,false,
kh.ua,TIMEOUT,0.000,10.0.0.5,false,
kennethehartman.com,TIMEOUT,0.000,10.0.0.5,false,
hemcolubricants.com,TIMEOUT,0.000,10.0.0.5,false,
forpsi.net,TIMEOUT,0.000,10.0.0.5,false,
memeblender.com,TIMEOUT,0.000,10.0.0.5,false,
somode.com,TIMEOUT,0.000,10.0.0.5,false,
gamemob.com,TIMEOUT,0.000,10.0.0.5,false,
monsterhomesecuritystore.com,TIMEOUT,0.000,10.0.0.5,false,
door2games.com,TIMEOUT,0.000,10.0.0.5,false,
ondemandappliancerepair.com,TIMEOUT,0.000,10.0.0.5,false,
gensee.com,TIMEOUT,0.000,10.0.0.5,false,
caricsports.com,TIMEOUT,0.000,10.0.0.5,false,
auqzzx.com,TIMEOUT,0.000,10.0.0.5,false,
toaskfuture.com,TIMEOUT,0.000,10.0.0.5,false,
cetsi.fr,TIMEOUT,0.000,10.0.0.5,false,
probigbets.com,TIMEOUT,0.000,10.0.0.5,false,
bikesandtransit.com,TIMEOUT,0.000,10.0.0.5,false,
aqvr.com,TIMEOUT,0.000,10.0.0.5,false,
niceinternetmoney.ru,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
chonvn.com,TIMEOUT,0.000,10.0.0.5,false,
eugenbotnar.com,TIMEOUT,0.000,10.0.0.5,false,
phi-pe.com,TIMEOUT,0.000,10.0.0.5,false,
chuamatsua.com,TIMEOUT,0.000,10.0.0.5,false,
pictures-thailand.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,159.890,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
2brightsparks.co.uk,TIMEOUT,0.000,10.0.0.5,false,
astrumonline.ru,TIMEOUT,0.000,10.0.0.5,false,
blueridgelife.com,TIMEOUT,0.000,10.0.0.5,false,
mwzip.com,TIMEOUT,0.000,10.0.0.5,false,
gusbi.com,TIMEOUT,0.000,10.0.0.5,false,
simternet.com,TIMEOUT,0.000,10.0.0.5,false,
khsm.ru,TIMEOUT,0.000,10.0.0.5,false,
livelinks.com,TIMEOUT,0.000,10.0.0.5,false,
jantv.in,TIMEOUT,0.000,10.0.0.5,false,
hornil.com,TIMEOUT,0.000,10.0.0.5,false,
7dfps.com,TIMEOUT,0.000,10.0.0.5,false,
luckypuppygames.com,TIMEOUT,0.000,10.0.0.5,false,
b-matrix.com,TIMEOUT,0.000,10.0.0.5,false,
coutureauchocolat.com,TIMEOUT,0.000,10.0.0.5,false,
afresnohomeinspector.com,TIMEOUT,0.000,10.0.0.5,false,
pieceinch.com,TIMEOUT,0.000,10.0.0.5,false,
australiatradenow.com,TIMEOUT,0.000,10.0.0.5,false,
diamondknot.com,TIMEOUT,0.000,10.0.0.5,false,
amorefieldlife.com,TIMEOUT,0.000,10.0.0.5,false,
sheltercoveinn.com,TIMEOUT,0.000,10.0.0.5,false,
wrestlingfanssuck.com,TIMEOUT,0.000,10.0.0.5,false,
sdccdonline.net,TIMEOUT,0.000,10.0.0.5,false,
autofirenze.biz,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,165.623,10.0.0.5,false,
wpad,NXDOMAIN,178.527,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
house-sg.com,TIMEOUT,0.000,10.0.0.5,false,
camcard.com,TIMEOUT,0.000,10.0.0.5,false,
ppsuika.ac.id,TIMEOUT,0.000,10.0.0.5,false,
healthnews4you.com,TIMEOUT,0.000,10.0.0.5,false,
stunninggirls.net,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
isatap,TIMEOUT,0.000,10.0.0.5,false,
kathihill.com,TIMEOUT,0.000,10.0.0.5,false,
linksplash.info,TIMEOUT,0.000,10.0.0.5,false,
group14eng.com,TIMEOUT,0.000,10.0.0.5,false,
shqqaa.com,TIMEOUT,0.000,10.0.0.5,false,
mesites.co.za,TIMEOUT,0.000,10.0.0.5,false,
progettogiovani.pd.it,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
uahoy.net,TIMEOUT,0.000,10.0.0.5,false,
retiragroup.com,TIMEOUT,0.000,10.0.0.5,false,
effexdjs.com,TIMEOUT,0.000,10.0.0.5,false,
mysearch-online.com,TIMEOUT,0.000,10.0.0.5,false,
asadventure.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,1441.618,10.0.0.5,false,
michiganbulb.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
shivalikprints.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,159.254,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
